ID,name,type,serialNumber,purchaseDate,value,status,location
550e8400-e29b-41d4-a716-446655440000,Laptop,Electronics,SN12345,2023-01-10,75000,Active,Chennai
550e8400-e29b-41d4-a716-446655440001,Printer,Electronics,SN67890,2022-11-05,15000,Maintenance,Bangalore
550e8400-e29b-41d4-a716-446655440002,Server,IT,SN54321,2021-06-15,250000,Active,Hyderabad
550e8400-e29b-41d4-a716-446655440003,Router,Networking,SN99999,2023-03-20,5000,Retired,Mumbai
550e8400-e29b-41d4-a716-446655440004,Desktop,Electronics,SN11223,2022-08-12,45000,Active,Delhi
550e8400-e29b-41d4-a716-446655440005,Switch,Networking,SN44556,2021-12-01,12000,Maintenance,Pune
550e8400-e29b-41d4-a716-446655440006,Tablet,Electronics,SN77889,2023-02-18,30000,Active,Chennai
550e8400-e29b-41d4-a716-446655440007,Firewall,Security,SN99001,2020-09-25,80000,Active,Bangalore
550e8400-e29b-41d4-a716-446655440008,Scanner,Electronics,SN22334,2022-04-30,10000,Retired,Kolkata
550e8400-e29b-41d4-a716-446655440009,UPS,Power,SN55667,2021-07-14,20000,Maintenance,Hyderabad

