ID,asset_ID,issue,status_code,cost
650e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440000,Screen issue,Open,5000
650e8400-e29b-41d4-a716-446655440002,550e8400-e29b-41d4-a716-446655440001,Paper jam,InProgress,2000
650e8400-e29b-41d4-a716-446655440003,550e8400-e29b-41d4-a716-446655440002,Overheating,Open,15000
650e8400-e29b-41d4-a716-446655440004,550e8400-e29b-41d4-a716-446655440003,Network issue,Completed,3000
650e8400-e29b-41d4-a716-446655440005,550e8400-e29b-41d4-a716-446655440004,Slow performance,Open,4000
650e8400-e29b-41d4-a716-446655440006,550e8400-e29b-41d4-a716-446655440005,Port failure,InProgress,2500
650e8400-e29b-41d4-a716-446655440007,550e8400-e29b-41d4-a716-446655440006,Battery issue,Open,3000
650e8400-e29b-41d4-a716-446655440008,550e8400-e29b-41d4-a716-446655440007,Security patch,Completed,6000
650e8400-e29b-41d4-a716-446655440009,550e8400-e29b-41d4-a716-446655440008,Scan error,Open,1500
650e8400-e29b-41d4-a716-446655440010,550e8400-e29b-41d4-a716-446655440009,Power issue,InProgress,2000
